Name,"Publications","Awards","Grants","Visiting Lectures","Appointments"
"Alexandra Bekiaridou, PhD","Clinical Significance of Supraventricular Tachycardia During Pregnancy in Healthy Women, JACC: Clinical Electrophysiology, 04/24/2024",,,,
Lucia Luppino,,"2024 Westchester Wunderkinds Award Winner  : Lucia Luppino, Medical Aesthetician  at Northwell Health Plastic Surgery
Westchester Wunderkinds Award:  This select group of the area’s best and brightest young professionals have been chosen by the editors of 914INC. for their unique talents, groundbreaking ideas and community involvement, all while under the age of 35! The 2024 Wunderkinds will be profiled in 914INC.’s May/June issue.
",,,
"Stuart Weinerman, MD",,"2024 Outstanding Teacher Award, North Shore/ Long Island Jewish",,,
"Joyce Au, MD","Poster presentation - A novel approach to patient education using a personalized 3D breast model, and its influence on anxiety, understanding of the disease, and decision-making on surgical treatment in breast cancer patients. The American Society of Breast Surgeons Official Proceedings, Volume XXV 2024 Annual Meeting Scientific Session Abstracts. Ann Surg Oncol 31 (Suppl 2), 295–703 (2024). https://doi.org/10.1245/s10434-024-15410-w",,,,
"Kristina Deligiannidis, MD","Deligiannidis KM, Citrome L, Huang M-Y, Werneburg B, Acaster S, Fridman M, Gunduz-Bruce H, Bonthapally V, Lasser R, Kanes SJ. (2023) Effect of zuranolone on concurrent anxiety and depressive symptoms in women with postpartum depression. J. Clinical Psychiatry, 30:84(1):22m14475. PMID: 36724109; PMCID: exempt.

Schmidt CT, Deligiannidis KM, Kittel-Schneider S, Frodl, T, Spigset O, Paulzen M, Schoretsanitis G. (2023) Transfer of anticonvulsants and lithium into amniotic fluid, umbilical cord blood and breast milk: a systematic review and combined analysis. Progress in neuropsychopharmacology and biological psychiatry. 15:124:110733. PMID:36805301; PMCID: PMC10712224.

Deligiannidis, KM, Meltzer-Brody S, Maximos B, Peeper EQ, Freeman M, Lasser R, Bullock A, Kotecha M, Li S, Forrestal F, Rana N, Garcia M, Leclair B, Doherty J. (2023) Zuranolone for the treatment of adults with postpartum depression. Am. J. Psychiatry, 1;180(9):668-675.  PMID: 37491938; PMCID: exempt.

Deligiannidis KM, Clayton AH. (2023) Patient-specific considerations, the GABA pathway and new clinical trial data on neuroactive steroids in MDD and PPD. J. Clin Psychiatry 84(suppl 1): JCP.SG22045Su1C. PMID: 36928484, PMCID: exempt.

Carlini SV, Osborne LM, Deligiannidis KM. (2023) Current pharmacotherapy approaches and novel GABAergic antidepressant development in postpartum depression. Dialogues in Clinical Neuroscience, 25(1):92-100. PMID:37796239; PMCID: PMC10557560.

Carlini SV, Lanza di Scalea T, McNally ST, Lester J, Deligiannidis KM. (2024) Management of Premenstrual Dysphoric Disorder: a scoping review. Focus (Am Psychiatr Publ), 22(1):81-96.  PMID: 38694162.

Clayton AH, Suthoff E, Jain R, Kosinski M, Fridman M, Deligiannidis KM, Meltzer-Brody S, Chen SY, Gervitz LM, Huang MY, Trivedi M, Bonthapally V. (2024) The magnitude and sustainability of treatment benefit of zuranolone on function and well-being as assessed by the SF-36 in adult patients with MDD and PPD: An integrated analysis of 4 randomized clinical trials. J. Affective Disorders, 15:351:904-914. PMID: 38325605, PMCID: exempt.

O’Callaghan L, Chertavian E, Johnson SJ, Ferries E, Deligiannidis KM. (2024) The cost-effectiveness of zuranolone versus selective serotonin reuptake inhibitors for the treatment of postpartum depression in the United States. J Med Econ, 27(1):492-505. PMID: 38465615, PMCID: exempt.

Deligiannidis KM, Bullock A, Nandy I, Dunbar J, Lasser R, Witte M, Leclair B, Wald J.  (2024) Zuranolone concentrations in the breast milk of healthy lactating individuals: a phase 1 open-label study. J Clin Psychopharm, doi: 10.1097/JCP.0000000000001873. Online ahead of print, PMID: 38739007, PMCID: exempt. 

Meltzer-Brody S, Gerbasi ME, Mak C, Toubouti Y, Smith S, Roskell N, Tan R, Chen S, Deligiannidis KM. (2024) Indirect comparisons of relative efficacy estimates of zuranolone and oral pharmacologic treatments for postpartum depression.   J. Med Econ, 27(1):582-595. PMID: 38523596, PMCID: exempt.

Schoretsanitis G, Deligiannidis KM, Kasperk N, Schmidt CT, Kittel-Schneider S, Ter Horst P, Berlin M, Kohn E, Zutshi D, Poels EMP, Bergink V, Spigset O, Paulzen M. (2024) The impact of pregnancy on the pharmacokinetics of antiseizure medications: A systematic review and meta-analysis of data from 674 pregnancies.  Prog. Neuropsych and Biol Psych., doi: 10.1016/j.pnpbp.2024.111030, PMID: 38762161, PMCID: pending.

Hare M, Barber A, Schaffer S. Deligiannidis KM.  (2024) Bidirectional associations between perinatal allopregnanolone and depression severity with postpartum gray matter volume in adult women. Acta Psychiatrica Scandinavica; accepted in press. PMID: pending, PMCID: pending
","2024: Summer soirée honoring Dr. Deligiannidis’ research/leadership in women’s health, Hellenic Medical Society of New York

2024: Alexander H. Glassman Memorial Lecture/Award for contributions to improving mental health, Columbia University Department of Psychiatry

2024: Feinstein Institutes for Medical Research Academy of Scholars (elected)
	
2024: Research Collaboration Award ($10,000), Feinstein Institutes for Medical Research, Advancing Women in Science and Medicine

2023: Excellence in Research Award ($1,500), Feinstein Institutes for Medical Research

2023: Scientific Excellence in Mentorship Award, Donald and Barbara Zucker School of Medicine at Hofstra/Northwell",,"2024: Neuroactive steroid treatments for postpartum depression: a translational neuroscience success story, invited keynote speaker; Feinstein Institutes for Medical Research Academy of Scholars Symposium, Oheka Castle, Huntington, NY

2024: Breakthroughs in women’s behavioral health.  Invited keynote speaker for the Feinstein Institutes of Medical Research, Advancing Women in Science and Medicine Research Awards Luncheon. David Koch Theater, Lincoln Center, NY, NY

2024	Neuroactive steroids in the pathophysiology and treatment of peripartum major depressive disorder; invited grand rounds presentation. Department of Psychiatry, SUNY Upstate Medical University, Syracuse, NY

2024	Neuroactive steroids in the pathophysiology and treatment of peripartum major depressive disorder: a translational research journey; invited speaker for the Annual Memorial Lecture in honor of Alexander “Sandy” Glassman, MD. Department of Psychiatry, Columbia University, NY, NY

2024	Current antidepressant approaches and novel neuroactive steroid drug development in perinatal depression.  Invited keynote speaker presentation. Harvard Medical School ""Psychiatry in 2024"". Fairmont Copley Plaza Hotel, Boston, MA

2024	Developing rapid-acting antidepressants for postpartum depression. Cathie Cook Endowed Lecture on Women’s Mental Health, Psychiatry Grand Rounds, invited grand rounds presentation. McLean Hospital, Belmont, MA

2024	Neuroactive steroids in the pathophysiology and treatment of peripartum major depressive disorder: a translational research journey, invited grand rounds presentation.
Department of Psychiatry, University of Michigan, Ann Arbor, MI

2024	Neuroactive steroids in the pathophysiology and treatment of peripartum major depressive disorder: a translational research journey. invited oral presentation
Department of Psychiatry, T32 speaker series, University of North Carolina, NC

2024	Neuroactive steroids in the pathophysiology and treatment of peripartum major depressive disorder: a translational research journey. Grand Rounds and Visiting Professor,
Department of Psychiatry, University of Massachusetts Chan Medical School, Worcester, MA

2024	Clinical update for the treatment of perinatal depression: neuroactive steroid antidepressants. Albert R. Jones Memorial Lecture, Invited Grand Rounds Department of Obstetrics and Gynecology, University of Massachusetts Chan Medical School, Worcester, MA

2024	NIH-funding research gaps in perinatal mental health disorders: perinatal depression.
Invited speaker for the Assessment of NIH Research on Women’s Health Meeting #3
National Academies of Sciences, Engineering and Medicine, Washington, D.C.

2023	Successes and challenges of state-funded perinatal psychiatry access programs.
National panel presentation, live, virtual. American Association of Medical Colleges, Washington, D.C.

2023	Perinatal depression: clinical update and new research into pathophysiology and neuroactive steroid treatment development: invited grand rounds presentation.
Department of Psychiatry & Behavioral Sciences, University of Washington, Seattle, WA.

2023	Perinatal depression: clinical update and new research into pathophysiology and neuroactive steroid treatment development: invited grand rounds presentation.
Department of Psychiatry, Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo, NY.

2023	Perinatal psychiatric illnesses: risk factors, mechanisms, and emerging evidence on pharmacotherapies. Oral platform presentation. 36th European College of Neuropsychopharmacology Congress. Barcelona, Spain
","2024: Maternal Mental Health Workgroup member, appointed by NYS OMH Commissioner Dr. Ann Marie Sullivan; NYS Office of Mental Health (OMH) Workgroup on Maternal Mental Health (Part PP of Chapter 57 of the Laws of 2023), convened by Governor Kathy Hochul

2024-2027 Board of Directors (internationally elected to position) of the Marcé Society of North America (MONA, the perinatal mental health research society)

2024-2026 appointment to the Gender Equity & Inclusion Committee (formerly named the “Women’s Committee”) for the American College of Neuropsychopharmacology (ACNP)

2023-present	Advisory Committee (appointed) for the National Network of Perinatal Psychiatry Access Programs (advises programs in 30 states)

2024 For the international journal, Acta Psychiatrica Scandinavica, invited Guest Editor for Special Issue in Perinatal Mental Health"
"Esther Hirschhorn, MD",,Top ten lowest NTSV rate for 2023-2024 for the northwell obgyn system ,,,
"Robert Moldwin, MD","The immune system in Interstitial Cystitis/Bladder Pain Syndrome and therapeutic agents. Continence 2023.
Food Sensitivities in a Diverse Nationwide Cohort of Veterans With Interstitial Cystitis/Bladder Pain Syndrome. J Urology 2023.
Validation of the ‘Pelvic Pain Map’: a new self‐assessment tool for chronic pelvic pain localisation. BJU Int 2023. 
Pelvic mapping to explore patterns of chronic pelvic pain. Neurourol. Urodyn. 2023. 
Neurobiology and long-term impact of bladder filling pain in humans: a MAPP research network study, PAIN  2023.
Clinically Important Differences for Pain and Urinary Symptoms in Urological Chronic Pelvic Pain Syndrome: A MAPP Network Study. J Urology 2023 
Open label, pilot evaluation of the safety and efficacy of Intravesical sustained release system of lidocaine and oxybutynin (TRG-100) for patients with interstitial cystitis/bladder pain syndrome (IC/BPS), Overactive bladder (OAB) and patients with retained ureteral stents following Endourological interventions (EUI). Urology 2023. 
Believing women: a qualitative exploration of provider disbelief and pain dismissal among women with interstitial cystitis/bladder pain syndrome from the MAPP research network. Int Urogynecol J 2024. 
Understanding the Sleep-Pain Relationship in Patients with Interstitial Cystitis/Bladder Pain Syndrome, CUAJ 2024. 
Purine nucleoside phosphorylase inhibition- an effective approach for the treatment of chemical hemorrhagic cystitis. JCI Insight 2024. 
Urologic Chronic Pelvic Pain Syndrome Flares: A Comprehensive, Systematic Review and Meta-Analysis of the Peer-Reviewed Flare Literature. J. Urol. 2024.
Interstitial Cystitis/Bladder Pain Syndrome and Related Disorders. In: Campbell’s Urology, 12th Edition. Eds:  Wein, Kavoussi, Partin, Peters, Elsevier, (in press) 2024.  
",,"Role of PNPase as a Contributor to Visceral Pain in Patients with IC/BPS or Hunner’s Lesions, DK135076- HEAL R01 – grant in collaboration with Lori Birder, PhD, U Pittsburgh (in collaboration with Joel Stern, PhD, Feinstein Institute)

A Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel Arm Study to Assess the Safety and Efficacy of a Single Treatment of BOTOX®, Followed by an Optional Open-Label Treatment with BOTOX®, in Female Subjects with Interstitial Cystitis/Bladder Pain Syndrome (IC/BPS) 

A Phase 2 Randomized, Double-blind, Placebo-controlled, Adaptive Study to Evaluate the Efficacy, Safety, and Tolerability of 2 Dose Levels of IW-3300 Administered Rectally for 12 Weeks to Treat Bladder Pain in Subjects with Interstitial Cystitis/Bladder Pain Syndrome 

A Phase 2, Randomized, Double-Blind, Placebo-Controlled Multi-Center Single Dose Study to Evaluate the Safety and Effectiveness of VNX001 Compared to Placebo, the Individual Components of Lidocaine, and Heparin in Subjects with Interstitial Cystitis/Bladder Pain Syndrome

Immune Cell Profiles and Cytokine Levels of Patients with Interstitial Cystitis/Bladder Pain Syndrome (in collaboration with Joel Stern, PhD, Feinstein Institute)","” Current Concepts of Care for the Pelvic Pain Patient, ,”Grandest” Rounds, UC Irvine, 2/13/23

“Diet and Its Effect on Interstitial Cystitis/Bladder Pain Syndrome,"" Nova Southeastern University’s Institute of Neuro-Immune Medicine, Dr. Kiran C. Patel College of Osteopathic Medicine (KPCOM), 34/11/23

“Update on AUA IC/BPS Guidelines,” , SUFU AUA 2023 Program, 4/30/23

“Epidemiological conflicts in Interstitial Cystitis & Bladder Pain Syndrome,” Webinar/ eUROGEN (the European Reference Network for rare and complex urogenital diseases and conditions), 6/15/23 

 “What is New for the Treatment of IC/BPS,” (""SUFU Lecture"") European Association for Urology, Paris, France, 4/6/24


","International Society for the Study of IC/BPS (ESSIC), Vice-President, 2021-

Interstitial Cystitis Association, Medical Advisory Board, 2023-

ESSIC, Director and Scientific Chairman of ESSIC 2023 Annual Meeting, Greenwich Village, NYC. 7/6-8/2023

Interstitial Cystitis Association, Course Director, 5th Annual Patient Symposium, “Pelvic Pain: A Common Dilemma for Women and Men...Pathways to Symptom Relief,” Zoom Webinar in cooperation with Katz Institute for Women’s Health and the Interstitial Cystitis Association, 9/27/23 "
"Theodore Strange, MD","Medicine—Both a Science (Care) and an Art (CARE)

JAMA April 2024

https://jamanetwork.com/journals/jama/fullarticle/2816705

PubMed Listed Publications

1. Strange TJ, Castellanos MR. Medicine-Both a Science (Care) and an Art (CARE). JAMA. 2024 Apr 23;331(16):1357-1358

2. Mata Zetina, A. P., Rajupet, S., Strange, T., Dhar, M., Dhulipalla, L., Mokhtar, A., Castellanos, M. R. “Rising trends in HPV (+) & HPV (-) vulvar cancers among US non-Hispanic White and Hispanic White females 50 years and older”. Journal of Clinical Oncology 2024, 42(16_suppl), 562.

3. Castellanos MR, Fanous E, Thaker R, Flory MJ, Seetharamu N, Dhar M, Starr A, Strange TJ. Expression patterns and clinical significance of estrogen receptor in non-small cell lung cancer. Pathology Research & Practice. 2023 Jan;241:154298.

4. Kwok, Y. F. R., Einbond, L. S., Tantawi, H., Strange, T., Smith, C., Dhar, M., Bershadskiy, A., Castellanos, M. R. “Effects of common nutraceutical supplements marketed for cancer prevention on tumor cell growth”. Journal of Clinical Oncology, 42(16_suppl), e2250.

5. Chapman Wei, Joshua Horeczko, Ahmad Mustafa, Theodore Strange, Vishal Patel, Mario R. Castellanos. “US Trends of Vulvovaginal Melanoma: A Silent Increase Despite Improvements in Cervical Cancer Incidence Rates.” Journal of Lower Genital Tract Disease. Volume 27, Number 3, Supplement 1, July 2023, pgS7.
","Inducted as member into academy of Medical educators 

Castle Connelly / nY Magazine  
Top doctors , internal medicine 2023 and 2024 ",,,
"Oana Rosca, MD","Rosca OC, Vele OE. Microsatellite instability, mismatch repair and tumor mutation burden in lung cancer. Surg Pathol Clin. 2024 Jun;17(2):295-305. doi: 10.1016/j.path.2023.11.011. Epub 2023 Dec 20. PMID: 38692812.

Ali A, Geetha S, Wu D, Chau K, Karam P, Khutti S, Fayyaz S, Das D, Gimenez C, Rosca OC. TRPS1 function beyond breast: A retrospective immunohistochemical study on non-breast cytology specimens. Diagn Cytopathol. 2024 May 25. doi: 10.1002/dc.25359. Epub ahead of print. PMID: 38794964. 

",,,,
"Deborah McElligott, DNP","McElligott, D. (2023). Integrative Therapies. AHNA Beginnings",,,"•Organizational Assessment, International Nurse Coach Conference, Miami Fla.    2024   
•	Stress Management, Cardiac Surgery Grand Rounds, Northwell Health		2024                                                       ","AHNA practice committee member 2023
Co-chapter leader AHNA Long Island Chapter"
"Jennifer Goebel, DO",,"Jennifer Goebel, DO- Director of Wellness, Emergency Medicine Service Line",,,
"Jeannine Villella, DO","Adherence to risk-reducing salpingo-oophorectomy guidelines among gynecologic oncologists compared to general gynecologists. Am J Obstet Gynecol. 2023 Jun 10
Maveropepimut-S, a DPX-Based Immune-Educating Therapy, Shows Promising and Durable Clinical Benefit in Patients with Recurrent Ovarian Cancer, a Phase II Trial, Clin Cancer Res. 2023 Aug 1
Right middle cerebral artery stroke secondary to ovarian clear cell carcinoma in a 35-year-old: A case report. Case Reports in Women’s Health. Volume 37, 2023 Feb 10
Right middle cerebral artery stroke secondary to ovarian clear cell carcinoma in a 35-year-old: A case report.  Case Rep Womens Health. 2023 Feb 10
“Endometrial Cancer.” Chapter in ""Current Progress in Obstetrics & Gynaecology, Vol. 7"", Tree Life Media, pp. 55–73. September 2023. ","Top Doctor, Castle Connolly, 2023, 2024
Truly Award Nominee, Northwell Health, 2023, 2024","“Familial Ovarian Cancer Registry.” David Miller, MD and Family $50,000, 2023. ","“Cancer Genetics and the Care of the High Risk Patient.” Northwell Health OBGYN Summit Bryant Park Conference Center, New York, NY. May 2024. 
“Primary Care and Gynecologic Oncology: A Partnership.” KIWH Beyond the Bikini Approach: Northwell Health Virtual Event. March, 2023. 
Northwell Health Obstetrics and Gynecology Summit: Innovations and Future Directions Course Co-Director and Section Moderator. Bryant Park Jay Conference Center 2024. ","American College of Surgeons Board of Governors Specialty Society, Governor Representing American College of Obstetricians and Gynecologists; 2021- 2024 "
"Stavros Mountantonakis, MD","Safety and Efficacy of a Novel Approach to Pulmonary Vein Isolation Using Prolonged Apneic Oxygenation. JACC Clin Electrophysiol. 2023 Apr

Pulsed Field or Conventional Thermal Ablation for Paroxysmal Atrial Fibrillation. N Engl J Med. 2023 Aug 27

Pulmonary Vein Narrowing after Pulsed Field Versus Thermal Ablation. Europace. 2024 Feb 2

Dual-energy lattice-tip ablation system for persistent atrial fibrillation: a randomized trial. Nat Med. 2024 May 17

Single plane multipolar catheter for accurate activation mapping of papillary muscle ectopy. J Interv Card Electrophysiol. 2024 May 13

Clinical Significance of Supraventricular Tachycardia During Pregnancy in Healthy Women. JACC Clin Electrophysiol. 2024 Apr 12

Rhythm vs Rate Control Strategy for Atrial Fibrillation: A Meta-Analysis of Randomized Controlled Trials. JACC Clin Electrophysiol. 2024 Apr 15

 Currently approved imaging modalities of atrial fibrillation drivers: Are they in agreement? HeartRhythm Case Rep. 2023 Aug 9;

Anatomically Based Ablation of Left Ventricular Summit Premature Ventricular Complexes Guided by Intracardiac Echocardiography. J Innov Card Rhythm Manag. 2024 Feb 15

","Apr 2024                   Global Principal Investigator, Advent PAS 
Feb 2024:                  First Pulsed Field Atrial Fibrillation Ablation in the Northeast
Dec 2023:                  Northwell Cardiology Research Consortium Research Award: Artificial   
                                  Intelligence Enhanced-Electrocardiogram (AI-ECG) to Predict Mortality in 
                                 Patients Admitted with Acute Coronary Syndrome                                           
 Dec 2023:                  Truly Leadership Award Northwell Health, Nominee 
","Principal Investigator, Assessment of Inflammatory Biomarker Profile in Patients Receiving Baroreflex Activation Therapy and the Correlation with Autonomic Balance and Heart Failure Symptoms in Patients with HFrEF, Funded by CVRx ($200,000). 2022-present. Major Goals: Quantify the physiologic response to baroreflex activation therapy and correlating this with clinical heart failure symptoms, to determine potential prognostic indicators of responders compared to non-responders.

Principal Investigator, A Machine Learning Prediction Model for Clinical Outcomes in Patients. with Implantable Cardiac Defibrillators Status. Investigator Initiated trial, Funded by Biotronik ($50,000). 2022-present. Major Goals: Explore the temporal relationship between adverse clinical outcomes and CIED data to form an algorithm for prognostic value. 

Principal Investigator, Comparing the Prevalence of Pacemaker Induced Cardiomyopathy between Dual Chamber Pacemakers and Leadless Pacemakers throughout Northwell Health. Investigator Initiated trial, Funded by Medtronic ($50,000). 2022-present. Major Goals: Identify the incidence of pacemaker medicated tachycardia in patients with leadless pacemakers compared to traditional transcutaneous pacemakers. 

Principal Investigator, The Comparative Advantage of the Advisor HD Grid Mapping System Catheter, Sensor Enabled in Mapping Ventricular Arrhythmias from the Papillary Muscles. Funded by Abbott External Research Grant ($39,452). 2021-present. Major Goals: Evaluate a novel mapping strategy through use of a multi-polar catheter for papillary muscle premature ventricular contractions. 

Principal Investigator, Non-invasive Vagal stimulation for Frequent Premature Ventricular Contractions (NoVa-PVC). Funded by Northwell Cardiology Consortium Research Grant ($5,000), Barbara and Donald Zucker Grant ($25,000), Biotelemetry Inc. ($50,000). 2021-present. NCT05341544.  Major Goals: Investigate the use of non-invasive vagal stimulation for premature ventricular contraction suppression in patients with symptomatic premature ventricular contractions as an adjunctive therapy. 

